make,model,model_year,rating,origin_country,category
Mitsubishi,Mirage,1986,26,China,Sedan
Subaru,Justy,1989,63,Peru,Sedan
Chevrolet,Caprice,1995,88,Democratic Republic of the Congo,Convertible
Chevrolet,Tahoe,1995,7,Poland,Hatchback
Pontiac,Sunfire,1999,61,Samoa,SUV
Nissan,Armada,2006,97,Philippines,Convertible
Suzuki,Swift,1992,34,Sudan,Truck
Honda,Accord,1996,78,Philippines,Truck
Ford,Explorer,2005,87,Macedonia,Truck
GMC,Terrain,2010,26,Russia,Hatchback
Suzuki,Swift,1993,11,Poland,Hatchback
Alfa Romeo,164,1993,71,Philippines,Truck
GMC,Savana 1500,2004,51,United States,SUV
Acura,NSX,1996,79,South Africa,Sedan
Toyota,Corolla,2009,56,Greece,Hatchback
Audi,A6,2002,53,Poland,SUV
Chevrolet,Blazer,2001,90,Japan,Convertible
Lincoln,Navigator,2003,82,Poland,Sedan
Mitsubishi,Tredia,1986,44,Ukraine,Sedan
Suzuki,XL-7,2002,8,Togo,Truck
Cadillac,Seville,2001,92,Ireland,Convertible
Mercury,Mariner,2007,35,Ukraine,Sedan
Volvo,S40,2004,18,Philippines,Convertible
Jeep,Grand Cherokee,2002,41,French Southern Territories,Hatchback
Lexus,LX,2010,70,United States,Truck
Volkswagen,rio,2002,48,Thailand,Truck
Ford,E-Series,1996,40,Sweden,Hatchback
Mercedes-Benz,CL-Class,2011,81,Argentina,Sedan
Ford,Contour,1996,73,Peru,Convertible
BMW,X6,2013,57,Philippines,SUV
Dodge,Viper RT/10,1993,51,Indonesia,Convertible
Chevrolet,Silverado 3500,2001,27,Indonesia,Sedan
Aston Martin,DBS,2009,41,Indonesia,Truck
Dodge,D250,1992,89,Peru,Hatchback
Toyota,4Runner,2011,12,Argentina,Convertible
Hyundai,Equus,2011,79,Nigeria,SUV
Jeep,Patriot,2012,46,Czech Republic,SUV
Nissan,Maxima,2002,7,Burkina Faso,Sedan
Ford,F150,2011,75,Serbia,Convertible
Subaru,Loyale,1992,42,Guam,Convertible
Chrysler,Concorde,1996,37,China,Convertible
Mitsubishi,Eclipse,2005,62,China,Hatchback
Isuzu,i-370,2007,89,Brazil,Hatchback
Mazda,Miata MX-5,2002,65,China,Convertible
Eagle,Summit,1995,5,Poland,Convertible
Volvo,740,1992,74,China,Sedan
Volkswagen,Golf,2000,20,Canada,Convertible
Ford,F350,2002,54,Syria,Convertible
Pontiac,Sunfire,2004,23,Indonesia,Truck
GMC,Yukon XL 1500,2006,76,Thailand,Hatchback
Dodge,Ram 1500 Club,1997,77,Philippines,Sedan
Toyota,Solara,2006,68,Kosovo,Sedan
Hummer,H3,2010,82,Indonesia,Truck
Dodge,Dakota,2000,79,South Africa,Hatchback
BMW,745,2003,53,Russia,SUV
Dodge,Intrepid,2004,77,China,Sedan
Volvo,V40,2002,60,Pakistan,SUV
Chevrolet,Tahoe,2012,65,Honduras,Sedan
Ford,Expedition,2005,22,Ukraine,SUV
Mazda,Mazda5,2008,10,Philippines,Truck
Mazda,MX-5,2003,64,Russia,SUV
Lincoln,LS,2000,18,China,Sedan
BMW,545,2005,74,China,Truck
Toyota,Corolla,2010,87,Colombia,Sedan
Mitsubishi,Mirage,1985,10,Ukraine,Hatchback
Mazda,B-Series Plus,1996,96,United States,Truck
Subaru,Forester,2009,34,Sweden,Sedan
Chevrolet,Silverado 1500,2008,45,Portugal,SUV
Nissan,GT-R,2012,20,Portugal,Sedan
Toyota,Sequoia,2009,79,Indonesia,Convertible
Toyota,Tacoma Xtra,1999,57,Indonesia,Convertible
Honda,CR-V,2002,9,Malaysia,Truck
Buick,Riviera,1997,64,Kazakhstan,SUV
Nissan,Xterra,2004,67,Poland,Hatchback
Land Rover,Defender,1992,69,China,Hatchback
Mercedes-Benz,SL-Class,1986,89,Brazil,SUV
Ford,Ranger,1999,46,Argentina,Truck
Acura,Integra,1994,51,Brazil,Convertible
Pontiac,GTO,1964,23,Brazil,Sedan
Mitsubishi,Galant,1992,39,Indonesia,SUV
Nissan,Altima,2003,22,Dominican Republic,Sedan
Ford,Econoline E250,1995,3,Bulgaria,SUV
GMC,Envoy,2003,67,Indonesia,Truck
Ferrari,612 Scaglietti,2010,32,China,Convertible
Nissan,Quest,2000,32,South Korea,Truck
Toyota,Corolla,2010,23,China,Sedan
Suzuki,Sidekick,1990,47,Russia,Hatchback
Oldsmobile,LSS,1997,73,Russia,Truck
Mazda,MX-3,1993,77,China,Truck
Volkswagen,rio,2000,46,Indonesia,Hatchback
Toyota,Venza,2010,36,Honduras,Convertible
Mazda,B-Series,2007,95,Indonesia,Convertible
Land Rover,LR2,2011,23,Angola,Truck
Lincoln,Mark VII,1984,47,Czech Republic,Convertible
Ford,Taurus X,2008,23,Poland,Convertible
Toyota,Prius,2012,26,Lithuania,Sedan
Dodge,Ram Van B250,1993,11,China,Convertible
Volvo,S80,2005,66,Indonesia,Sedan
Ford,EXP,1985,90,Russia,Convertible
Ford,F-Series,1987,90,China,Sedan
Chevrolet,Corvette,2006,89,Brazil,Convertible
Nissan,Frontier,2007,81,China,Hatchback
Honda,Element,2007,92,France,Hatchback
Ford,Fusion,2008,63,Russia,Truck
GMC,1500 Club Coupe,1995,87,France,SUV
Cadillac,Escalade,2009,6,Chile,SUV
BMW,M5,2008,96,Russia,Sedan
Volvo,C70,2004,19,China,Truck
Infiniti,M,2003,83,Poland,Hatchback
Ford,Explorer Sport,2002,28,Poland,Convertible
Jeep,Grand Cherokee,2001,96,Poland,SUV
Pontiac,Grand Prix,1963,55,China,Convertible
Toyota,Sienna,2009,21,Mexico,Convertible
Mitsubishi,Montero,2004,56,Thailand,Sedan
Toyota,Sienna,2007,34,Portugal,Truck
Toyota,Tacoma,2010,70,Belarus,Truck
Mercury,Grand Marquis,1986,71,Tajikistan,Truck
BMW,M,2000,78,Yemen,Convertible
Volvo,V70,2000,30,Portugal,Sedan
Bentley,Azure,2010,87,Colombia,Truck
Pontiac,Grand Prix,2000,87,Portugal,Convertible
Audi,S4,1992,99,Malaysia,Truck
Chrysler,Town & Country,2008,100,Canada,Truck
Ford,F350,2001,72,China,SUV
GMC,1500 Club Coupe,1993,90,Burundi,Hatchback
Volvo,XC70,2012,90,France,Hatchback
Chevrolet,Express 3500,2011,29,China,Hatchback
Volkswagen,Type 2,1988,56,Lebanon,Sedan
GMC,Yukon,1993,62,Indonesia,Sedan
Lincoln,MKX,2010,9,Poland,Hatchback
Kia,Sportage,1999,92,France,Sedan
Pontiac,GTO,2006,89,China,Hatchback
Mercedes-Benz,CL-Class,2008,88,Japan,Sedan
Dodge,Stratus,1999,13,China,Sedan
Jeep,Compass,2012,33,Pakistan,Truck
Suzuki,Forenza,2006,47,Finland,SUV
Buick,Park Avenue,2005,58,Palestinian Territory,Truck
Subaru,Outback,2006,7,Indonesia,Sedan
Bentley,Continental Flying Spur,2006,26,Peru,Convertible
Honda,CR-Z,2012,2,Sweden,SUV
Mazda,B-Series,2008,78,China,Sedan
Honda,Passport,1996,70,China,SUV
Subaru,SVX,1992,69,Indonesia,Convertible
Nissan,Frontier,2003,95,United States,SUV
Lexus,RX,2002,57,Sweden,Truck
Porsche,911,2003,81,Russia,SUV
Ford,F250,2005,30,Colombia,SUV
Land Rover,Discovery,1997,49,Philippines,Hatchback
Chevrolet,Camaro,1968,38,Sri Lanka,Sedan
Mercedes-Benz,M-Class,2000,21,China,SUV
Volvo,S80,2002,62,Czech Republic,SUV
Toyota,Tundra,2005,76,China,Truck
GMC,Savana 3500,1997,79,Japan,Hatchback
Pontiac,Parisienne,1985,60,Finland,Hatchback
GMC,Sierra 1500,2010,96,Bulgaria,Truck
Mazda,Mazda6,2010,54,China,Truck
Dodge,Durango,2003,25,United States,Sedan
Suzuki,XL-7,2001,36,Pakistan,Sedan
Buick,Rendezvous,2007,41,China,Sedan
Pontiac,Bonneville,1966,64,Niger,SUV
Mercedes-Benz,M-Class,2006,47,Russia,Hatchback
Chevrolet,Astro,2000,24,Indonesia,Hatchback
Toyota,Corolla,1995,55,Indonesia,Sedan
Pontiac,Grand Prix,1985,17,Indonesia,Truck
BMW,1 Series,2009,5,Ukraine,Truck
Suzuki,Daewoo Lacetti,2006,30,China,Hatchback
Dodge,D350 Club,1993,79,Reunion,SUV
MG,MGB,1977,11,Philippines,Hatchback
Volvo,V50,2011,21,Nigeria,Truck
Honda,Pilot,2004,10,Moldova,SUV
Hyundai,Tiburon,1997,34,Turks and Caicos Islands,Convertible
Hyundai,Elantra,1995,72,China,Convertible
Cadillac,DeVille,2002,99,Honduras,Hatchback
Buick,LeSabre,2004,98,United States,Sedan
Hyundai,Tucson,2008,81,Indonesia,Truck
Isuzu,Space,1992,61,China,Sedan
Chevrolet,Blazer,1993,27,Japan,Truck
Jaguar,XJ,2009,47,Sweden,Sedan
Lotus,Evora,2012,99,China,Convertible
Jaguar,XK Series,1997,39,Russia,Convertible
Pontiac,Safari,1988,79,China,Sedan
Dodge,Viper RT/10,1995,99,Poland,Hatchback
Cadillac,Catera,2000,91,Indonesia,SUV
Mitsubishi,Expo,1992,49,China,Hatchback
Dodge,Dakota,2004,46,Dominican Republic,Truck
GMC,Jimmy,1996,24,Japan,Truck
Hyundai,Azera,2007,44,United States,Sedan
Scion,tC,2012,2,Argentina,Truck
Volkswagen,GTI,1985,73,Indonesia,Hatchback
Ford,E-Series,2004,67,Belarus,Convertible
Nissan,Altima,2002,99,Brazil,Truck
BMW,Z4 M,2007,45,Japan,SUV
BMW,6 Series,2007,81,Kazakhstan,Truck
Nissan,Quest,2008,68,China,Convertible
Toyota,Highlander,2003,8,Russia,SUV
Mazda,626,1983,77,China,Sedan
BMW,5 Series,2000,75,Philippines,Hatchback
Oldsmobile,Aurora,1995,95,Brazil,SUV
Toyota,Tundra,2009,24,Russia,Sedan
Acura,ZDX,2010,8,Philippines,Hatchback
Chevrolet,Tahoe,1997,31,Ecuador,Convertible
Subaru,XT,1988,50,Russia,Convertible
Nissan,Maxima,2007,12,Indonesia,Truck
Porsche,Boxster,2000,82,China,SUV
Volkswagen,GTI,2006,22,France,Hatchback
Lincoln,Continental,1985,2,Portugal,Sedan
Cadillac,Escalade,2003,4,China,Convertible
Pontiac,6000,1986,58,Sweden,Sedan
Ford,Crown Victoria,2011,11,Afghanistan,Hatchback
Mercedes-Benz,CLK-Class,2008,34,Indonesia,Truck
Subaru,Justy,1993,10,Philippines,Truck
Lamborghini,Countach,1988,74,Botswana,Hatchback
Dodge,Nitro,2011,25,China,SUV
Chevrolet,Corvette,1995,58,Poland,SUV
Infiniti,M,2006,46,Tanzania,Truck
Chevrolet,Express 2500,2010,80,Poland,SUV
Oldsmobile,88,1992,80,China,Sedan
Ferrari,430 Scuderia,2009,97,Bosnia and Herzegovina,Sedan
Porsche,928,1995,85,Nigeria,Hatchback
Acura,RSX,2004,7,Indonesia,SUV
Acura,Integra,1995,56,China,Sedan
BMW,760,2006,52,Brazil,Convertible
Ford,F350,2008,86,Pakistan,Hatchback
Honda,Insight,2006,32,Ukraine,Truck
Buick,Riviera,1985,78,Malaysia,Hatchback
Mazda,Miata MX-5,2004,86,China,Convertible
Mitsubishi,Galant,1997,22,Ivory Coast,SUV
Mercedes-Benz,GLK-Class,2012,40,Dominican Republic,Convertible
Oldsmobile,Alero,2000,95,China,SUV
Volkswagen,Type 2,1991,40,Netherlands,Truck
Toyota,T100,1995,8,Tunisia,Convertible
Infiniti,G,2000,94,Honduras,SUV
Chrysler,Pacifica,2005,54,China,Sedan
Audi,Cabriolet,1997,91,Guatemala,Convertible
Porsche,Boxster,2010,92,Sri Lanka,Truck
Mitsubishi,Pajero,1994,36,Nicaragua,Truck
Mitsubishi,Mirage,1988,77,Indonesia,Sedan
Acura,Integra,1988,50,China,Truck
Hyundai,Elantra,2000,89,Indonesia,SUV
Oldsmobile,Aurora,2002,89,China,Truck
Corbin,Sparrow,1999,37,Cuba,Hatchback
Toyota,Avalon,2006,53,Poland,Convertible
GMC,Yukon,2010,9,Sri Lanka,Sedan
BMW,Z3,1997,95,Colombia,Sedan
Saab,900,1985,55,Indonesia,Convertible
Nissan,Altima,2003,88,Indonesia,SUV
Mercedes-Benz,W126,1981,46,China,Truck
Ford,Bronco II,1988,81,Kyrgyzstan,Truck
Maserati,Spyder,1989,46,China,Hatchback
Toyota,Highlander,2007,83,Tanzania,Truck
Isuzu,Oasis,1998,60,Poland,Convertible
Mazda,Mazdaspeed6,2007,23,Vietnam,Truck
Lotus,Elise,2006,64,Indonesia,Hatchback
Buick,Lucerne,2008,21,China,Convertible
GMC,Jimmy,1997,64,Indonesia,Hatchback
Jaguar,XF,2011,74,Iran,Convertible
BMW,5 Series,1994,16,Indonesia,Convertible
GMC,Savana 1500,1996,46,Morocco,Hatchback
Mercedes-Benz,S-Class,1990,40,Philippines,Sedan
Maserati,228,1989,61,China,Sedan
Ford,F-Series,2008,16,China,Sedan
Kia,Sportage,1998,52,Cuba,Hatchback
Audi,Cabriolet,1996,42,Greece,Convertible
Mercedes-Benz,GL-Class,2010,91,China,Truck
Oldsmobile,Regency,1998,48,Ukraine,Hatchback
Honda,Prelude,1985,40,Mexico,Sedan
Mercedes-Benz,CLK-Class,2009,68,Czech Republic,Truck
Volvo,V70,2004,55,Honduras,Convertible
Scion,xD,2008,53,Nicaragua,Hatchback
Volkswagen,Type 2,1991,4,Indonesia,Convertible
Mitsubishi,Raider,2009,12,France,Hatchback
Ford,Freestar,2006,19,Thailand,Sedan
Chrysler,Town & Country,1993,97,China,Sedan
Porsche,944,1989,89,Egypt,Hatchback
Chevrolet,3500,1995,54,United States,Truck
Chevrolet,Aveo,2007,77,Brazil,Truck
GMC,2500 Club Coupe,1993,2,Argentina,SUV
Ford,Explorer,1996,66,Indonesia,Truck
Nissan,Quest,2012,60,Greece,Convertible
Chevrolet,Express,2012,100,Nigeria,Truck
Pontiac,Montana,2000,19,Indonesia,SUV
Ford,Probe,1989,85,China,SUV
Chevrolet,Caprice Classic,1996,42,Syria,Hatchback
Mercury,Cougar,1992,13,Russia,SUV
Toyota,TundraMax,2010,81,Russia,Truck
GMC,Suburban 1500,1995,68,China,Hatchback
